,Opening,Games_Played,Games_Won,Win_Rate
0,van't kruijs opening,13161,5767.0,0.43818858749335154
1,scandinavian defense: mieses-kotroc variation,11614,6487.0,0.5585500258308937
2,modern defense,10334,4966.0,0.4805496419585833
3,horwitz defense,9408,4891.0,0.5198767006802721
4,sicilian defense,8881,3660.0,0.41211575273054835
5,caro-kann defense,8404,3764.0,0.4478819609709662
6,french defense: knight variation,8385,3892.0,0.46416219439475254
7,scandinavian defense,7899,3682.0,0.4661349537916192
8,owen defense,7466,3867.0,0.5179480310742031
9,sicilian defense: bowdler attack,7221,3027.0,0.4191940174491068
10,philidor defense #3,6183,3436.0,0.5557172893417435
11,queen's pawn game #2,5997,2911.0,0.48540937135234286
12,hungarian opening,5824,2864.0,0.49175824175824173
13,queen's pawn,5807,2927.0,0.5040468400206647
14,queen's pawn game: chigorin variation,5499,2827.0,0.5140934715402801
15,indian game,5398,2431.0,0.45035198221563544
16,scotch game,4963,2778.0,0.5597420914769293
17,sicilian defense: old sicilian,4939,2271.0,0.4598096780724843
18,philidor defense #2,4926,2508.0,0.5091352009744214
19,queen's pawn game: zukertort variation,4821,2605.0,0.5403443269031322
20,king's pawn game: leonardis variation,4772,2173.0,0.45536462699077956
21,bishop's opening,4663,2489.0,0.5337765387089857
22,mieses opening,4466,2041.0,0.45700850873264665
23,french defense: normal variation,4379,2412.0,0.550810687371546
24,pirc defense #4,4341,2043.0,0.47062888735314445
25,queen's pawn game,4297,1992.0,0.4635792413311613
26,old benoni defense,4158,1897.0,0.4562289562289562
27,king's pawn game: wayward queen attack,4017,1949.0,0.4851879512073687
28,queen's pawn game: mason attack,3963,2112.0,0.5329295987887964
29,italian game: anti-fried liver defense,3575,1964.0,0.5493706293706294
30,sicilian defense: mcdonnell attack,3493,1616.0,0.46263956484397367
31,french defense: exchange variation,3240,1515.0,0.4675925925925926
32,english defense #2,3231,1714.0,0.5304859176725472
33,french defense #2,3105,1308.0,0.421256038647343
34,queen's gambit refused: marshall defense,3064,1758.0,0.5737597911227154
35,bird opening,3062,1507.0,0.492161985630307
36,queen's gambit declined,2905,1508.0,0.519104991394148
37,ruy lopez: steinitz defense,2840,1494.0,0.526056338028169
38,scandinavian defense: main line,2758,1271.0,0.4608411892675852
39,four knights game: italian variation,2757,1312.0,0.47587957925281105
40,robatsch (modern) defense,2745,1275.0,0.4644808743169399
41,bishop's opening: berlin defense,2609,1321.0,0.5063242621694136
42,sicilian defense: smith-morra gambit #2,2606,1072.0,0.4113584036838066
43,philidor defense,2540,1543.0,0.6074803149606299
44,sicilian defense: alapin variation,2509,1244.0,0.4958150657632523
45,scandinavian defense: modern variation #2,2460,1136.0,0.46178861788617886
46,sicilian defense: french variation,2459,1058.0,0.4302562017080114
47,italian game,2453,1412.0,0.575621687729311
48,sicilian defense: closed variation,2277,1182.0,0.5191040843214756
49,saragossa opening,2266,1063.0,0.46910856134157103
50,nimzo-larsen attack,2237,1200.0,0.5364327223960662
51,three knights opening,2170,1025.0,0.47235023041474655
52,polish opening,2168,1130.0,0.5212177121771218
53,bird opening: dutch variation,2150,1113.0,0.5176744186046511
54,queen's gambit accepted: old variation,2144,1295.0,0.6040111940298507
55,french defense: la bourdonnais variation,2103,1023.0,0.4864479315263909
56,rat defense: small center defense,1999,1119.0,0.5597798899449725
57,king's pawn game: busch-gass gambit,1948,1113.0,0.5713552361396304
58,nimzo-larsen attack: classical variation,1940,1010.0,0.520618556701031
59,king's pawn game: mcconnell defense,1938,1083.0,0.5588235294117647
60,zukertort opening: tennison gambit,1932,910.0,0.47101449275362317
61,french defense: king's indian attack,1921,898.0,0.4674648620510151
62,queen's gambit accepted,1911,1112.0,0.5818942961800104
63,van geet opening,1909,885.0,0.463593504452593
64,english opening: king's english variation,1899,950.0,0.5002632964718273
65,zukertort opening: sicilian invitation,1881,962.0,0.5114300903774588
66,russian game: three knights game,1844,1030.0,0.5585683297180043
67,slav defense #2,1843,919.0,0.49864351600651113
68,french defense: queen's knight,1780,853.0,0.47921348314606743
69,zukertort opening: queen's gambit invitation,1691,903.0,0.5340035481963336
70,king's pawn game,1688,542.0,0.32109004739336494
71,russian game: urusov gambit,1648,923.0,0.5600728155339806
72,giuoco piano,1643,746.0,0.4540474741326841
73,pirc defense #5,1641,832.0,0.5070079219987812
74,englund gambit,1629,856.0,0.525475751995089
75,old indian defense,1614,834.0,0.516728624535316
76,caro-kann defense: advance variation,1602,721.0,0.4500624219725343
77,king's gambit,1594,978.0,0.6135508155583438
78,king's pawn game: napoleon attack,1590,754.0,0.4742138364779874
79,queen's pawn game #3,1568,685.0,0.43686224489795916
80,caro-kann defense: exchange variation,1538,676.0,0.43953185955786733
81,"king's gambit declined, queen's knight defense",1536,861.0,0.560546875
82,sicilian defense: nyezhmetdinov-rossolimo attack,1501,779.0,0.5189873417721519
83,queen's pawn game: levitsky attack,1489,838.0,0.5627938213566152
84,sicilian defense: staunton-cochrane variation,1446,651.0,0.45020746887966806
85,queen's gambit declined: queen's knight variation,1431,840.0,0.5870020964360587
86,sicilian defense: closed,1429,657.0,0.45976207137858643
87,philidor defense: exchange variation #2,1426,784.0,0.5497896213183731
88,nimzowitsch defense,1401,645.0,0.4603854389721627
89,english opening: agincourt defense,1387,698.0,0.5032444124008651
90,queen's pawn game: london system,1382,690.0,0.4992764109985528
91,"sicilian defense: closed variation, traditional",1369,613.0,0.44777209642074506
92,center game: normal variation,1344,474.0,0.35267857142857145
93,king's knight opening: normal variation,1332,563.0,0.42267267267267267
94,king's indian attack,1312,698.0,0.5320121951219512
95,"english opening: king's english variation, reversed sicilian",1308,738.0,0.5642201834862385
96,english opening,1277,692.0,0.5418950665622553
97,vienna game,1274,738.0,0.5792778649921507
98,bishop's opening: boi variation,1270,634.0,0.49921259842519683
99,"englund gambit declined, reversed french",1267,577.0,0.4554064719810576
100,dutch defense,1263,616.0,0.48772763262074426
101,sicilian defense: smith-morra gambit,1262,655.0,0.5190174326465927
102,elephant gambit,1262,720.0,0.5705229793977813
103,king's pawn game: damiano defense,1258,856.0,0.6804451510333863
104,danish gambit,1256,670.0,0.5334394904458599
105,sicilian defense: paulsen variation,1250,550.0,0.44
106,french defense: advance variation #3,1230,637.0,0.5178861788617887
107,english opening: anglo-scandinavian defense,1225,710.0,0.5795918367346938
108,alekhine defense,1224,582.0,0.47549019607843135
109,semi-slav defense: accelerated move order,1220,617.0,0.5057377049180328
110,alekhine defense: scandinavian variation,1214,532.0,0.4382207578253707
111,sicilian defense #2,1198,620.0,0.5175292153589316
112,"nimzowitsch defense: kennedy variation, linksspringer variation",1194,597.0,0.5
113,"italian game: two knights defense, modern bishop's opening",1176,604.0,0.5136054421768708
114,king's knight opening,1170,755.0,0.6452991452991453
115,sicilian defense: najdorf variation,1168,534.0,0.4571917808219178
116,center game #2,1165,685.0,0.5879828326180258
117,sicilian defense: loewenthal variation,1160,561.0,0.4836206896551724
118,caro-kann defense: hillbilly attack,1156,459.0,0.39705882352941174
119,"french defense: advance variation, paulsen attack",1128,454.0,0.4024822695035461
120,sicilian defense: open #3,1125,597.0,0.5306666666666666
121,queen's pawn game: symmetrical variation,1124,524.0,0.46619217081850534
122,semi-slav defense,1120,599.0,0.5348214285714286
123,st. george defense,1113,601.0,0.5399820305480683
124,scotch game: classical variation,1111,514.0,0.46264626462646263
125,"french defense: advance variation, nimzowitsch system",1108,414.0,0.37364620938628157
126,ruy lopez: berlin defense #2,1104,559.0,0.5063405797101449
127,slav defense,1091,535.0,0.4903758020164986
128,pirc defense: classical variation,1090,499.0,0.4577981651376147
129,zukertort opening: kingside fianchetto,1087,568.0,0.5225390984360626
130,english opening: the whale,1075,456.0,0.4241860465116279
131,nimzo-larsen attack: indian variation,1068,525.0,0.49157303370786515
132,zukertort opening: pirc invitation,1054,562.0,0.5332068311195446
133,french defense: steinitz attack,1053,478.0,0.4539411206077873
134,"king's gambit accepted, fischer defense",1051,616.0,0.5861084681255947
135,slav defense: exchange variation,1039,550.0,0.5293551491819056
136,benoni defense: benoni gambit accepted,1037,430.0,0.4146576663452266
137,"king's gambit accepted, macleod defense",1030,622.0,0.6038834951456311
138,grob opening,1029,498.0,0.4839650145772595
139,slav defense: three knights variation,1027,552.0,0.5374878286270691
140,mikenas defense,1025,561.0,0.5473170731707317
141,reti opening,1022,540.0,0.5283757338551859
142,queen's pawn game: colle system,1015,473.0,0.4660098522167488
143,ruy lopez: classical variation,985,468.0,0.4751269035532995
144,king's pawn game: maroczy defense,983,578.0,0.5879959308240081
145,king's pawn game: macleod attack,976,478.0,0.48975409836065575
146,"italian game: giuoco pianissimo, normal",975,463.0,0.4748717948717949
147,ruy lopez: bird variation,950,509.0,0.5357894736842105
148,nimzo-larsen attack: modern variation #2,944,530.0,0.5614406779661016
149,sicilian defense: delayed alapin,940,449.0,0.4776595744680851
150,"nimzowitsch defense: scandinavian variation, advance variation",918,493.0,0.5370370370370371
151,queen's pawn game: franco-sicilian defense,915,411.0,0.4491803278688525
152,ruy lopez: cozio defense,911,493.0,0.5411635565312843
153,petrov's defense,905,448.0,0.4950276243093923
154,french defense: advance variation #2,889,406.0,0.4566929133858268
155,reti opening #2,879,403.0,0.45847554038680316
156,english opening: great snake variation,872,430.0,0.49311926605504586
157,philidor defense #4,871,408.0,0.46842709529276694
158,hungarian opening: slav formation,867,406.0,0.4682814302191465
159,ruy lopez: exchange variation,865,379.0,0.43815028901734104
160,queen's gambit declined: normal defense,855,407.0,0.4760233918128655
161,trompowsky attack,853,444.0,0.5205158264947245
162,zukertort opening: black mustang defense,852,435.0,0.5105633802816901
163,ruy lopez,846,474.0,0.5602836879432624
164,english opening: anglo-indian defense,845,410.0,0.48520710059171596
165,philidor defense: exchange variation,837,456.0,0.5448028673835126
166,torre attack,834,426.0,0.5107913669064749
167,pirc defense,832,347.0,0.4170673076923077
168,"king's gambit accepted, king's knight gambit",830,514.0,0.619277108433735
169,zukertort opening: slav invitation,821,410.0,0.4993909866017052
170,four knights game: scotch variation accepted,819,416.0,0.5079365079365079
171,english opening: symmetrical variation,817,399.0,0.4883720930232558
172,"caro-kann defense: advance variation, short variation",813,366.0,0.45018450184501846
173,king's indian defense,810,380.0,0.4691358024691358
174,english opening: caro-kann defensive system,803,394.0,0.49066002490660027
175,colle system,800,388.0,0.485
176,alekhine defense: maroczy variation,798,354.0,0.44360902255639095
177,mieses opening: reversed rat,788,362.0,0.4593908629441624
178,italian game: giuoco pianissimo,778,372.0,0.4781491002570694
179,hungarian opening: catalan formation,778,395.0,0.5077120822622108
180,"french defense: exchange variation, monte carlo variation",774,365.0,0.4715762273901809
181,queen's pawn game: krause variation,771,394.0,0.5110246433203631
182,"english opening: king's english variation, two knights variation",767,385.0,0.5019556714471969
183,slav defense: modern line,762,441.0,0.5787401574803149
184,italian game: schilling-kostic gambit,761,340.0,0.4467805519053876
185,"english opening: anglo-indian defense, queen's knight variation",756,361.0,0.4775132275132275
186,caro-kann defense: two knights attack,754,393.0,0.5212201591511937
187,queen's pawn game: anti-torre,746,392.0,0.5254691689008043
188,french defense: two knights variation,741,368.0,0.4966261808367072
189,"king's pawn game: wayward queen attack, kiddie countergambit",737,347.0,0.4708276797829037
190,italian game: hungarian defense,736,347.0,0.47146739130434784
191,franco-benoni defense,735,375.0,0.5102040816326531
192,sicilian defense: open,731,372.0,0.5088919288645691
193,sicilian defense: delayed alapin variation,725,324.0,0.44689655172413795
194,rat defense: harmonist,721,357.0,0.49514563106796117
195,"nimzowitsch defense, declined variation",711,358.0,0.5035161744022504
196,nimzo-indian defense: ragozin variation,708,426.0,0.6016949152542372
197,scandinavian defense: gubinsky-melts defense,705,352.0,0.49929078014184397
198,queen's gambit declined: three knights variation,702,356.0,0.5071225071225072
199,queen's gambit refused: albin countergambit,701,347.0,0.4950071326676177
200,queen's gambit refused: baltic defense,701,420.0,0.5991440798858774
201,hungarian opening: indian defense,691,298.0,0.4312590448625181
202,french defense: rubinstein variation,691,385.0,0.557163531114327
203,"italian game: giuoco pianissimo, italian four knights variation",689,333.0,0.4833091436865022
204,italian game: two knights defense,689,353.0,0.5123367198838897
205,petrov's defense #2,688,380.0,0.5523255813953488
206,sicilian defense: hyperaccelerated dragon,686,310.0,0.4518950437317784
207,four knights game,685,272.0,0.3970802919708029
208,sicilian defense: grand prix attack,684,345.0,0.5043859649122807
209,hungarian opening: sicilian invitation,680,310.0,0.45588235294117646
210,"sicilian defense: kan variation, knight variation",679,283.0,0.4167893961708395
211,indian game: budapest defense,677,290.0,0.42836041358936483
212,caro-kann defense: breyer variation,675,275.0,0.4074074074074074
213,nimzo-larsen attack: modern variation #3,668,291.0,0.4356287425149701
214,ponziani opening: jaenisch counterattack,666,315.0,0.47297297297297297
215,torre attack #2,660,337.0,0.5106060606060606
216,vienna game: stanley variation,660,348.0,0.5272727272727272
217,zukertort opening: queenside fianchetto variation,658,363.0,0.5516717325227963
218,zukertort opening: old indian attack,655,327.0,0.49923664122137407
219,caro-kann defense: classical variation,651,294.0,0.45161290322580644
220,semi-slav defense: main line,649,354.0,0.5454545454545454
221,east indian defense,643,269.0,0.41835147744945567
222,benoni defense,642,292.0,0.45482866043613707
223,benoni defense: old benoni,640,310.0,0.484375
224,ponziani opening,637,316.0,0.49607535321821034
225,scotch game: schmidt variation,632,283.0,0.4477848101265823
226,nimzo-larsen attack: english variation,626,306.0,0.48881789137380194
227,nimzo-indian defense #2,617,328.0,0.5316045380875203
228,french defense: advance variation #4,616,224.0,0.36363636363636365
229,hungarian opening: symmetrical variation,615,303.0,0.4926829268292683
230,king's pawn game: king's head opening #2,614,254.0,0.41368078175895767
231,dutch defense: queen's knight variation,613,298.0,0.48613376835236544
232,indian game: wade-tartakower defense,611,279.0,0.45662847790507366
233,"french defense: classical variation, steinitz variation",603,269.0,0.4461028192371476
234,vienna game: max lange defense,600,301.0,0.5016666666666667
235,vienna game: vienna gambit,595,378.0,0.6352941176470588
236,duras gambit,594,312.0,0.5252525252525253
237,french defense: steiner variation,594,293.0,0.49326599326599324
238,"english opening: symmetrical variation, normal variation",593,303.0,0.5109612141652614
239,"sicilian defense: accelerated dragon, modern variation",584,260.0,0.4452054794520548
240,nimzo-larsen attack: modern variation #4,583,290.0,0.4974271012006861
241,"king's indian defense: normal variation, rare defenses",579,281.0,0.4853195164075993
242,french defense: advance variation,574,236.0,0.41114982578397213
243,queen's pawn game: torre attack,563,310.0,0.5506216696269982
244,kadas opening,558,219.0,0.3924731182795699
245,modern defense: standard defense,556,301.0,0.5413669064748201
246,london system,554,263.0,0.4747292418772563
247,english defense,552,297.0,0.5380434782608695
248,scotch game: scotch gambit,550,326.0,0.5927272727272728
249,pirc defense #2,548,279.0,0.5091240875912408
250,"sicilian defense: paulsen variation, normal variation",546,285.0,0.521978021978022
251,indian game: east indian defense,545,260.0,0.47706422018348627
252,alekhine defense: exchange variation,536,236.0,0.44029850746268656
253,queen's gambit refused: austrian defense,534,307.0,0.5749063670411985
254,anderssen opening,533,257.0,0.4821763602251407
255,queen's pawn game: stonewall attack,529,240.0,0.45368620037807184
256,blackmar-diemer gambit,525,239.0,0.4552380952380952
257,indian game: london system,523,252.0,0.4818355640535373
258,"king's indian defense: normal variation, king's knight variation",518,247.0,0.4768339768339768
259,gedult's opening,513,202.0,0.3937621832358674
260,"sicilian defense: canal attack, main line",513,245.0,0.4775828460038986
261,"queen's pawn game: symmetrical variation, pseudo-catalan",512,258.0,0.50390625
262,alekhine defense: normal variation,508,224.0,0.4409448818897638
263,"italian game: two knights defense, knight attack, normal variation",496,247.0,0.49798387096774194
264,queen's gambit,489,308.0,0.6298568507157464
265,bishop's opening: philidor counterattack,489,267.0,0.5460122699386503
266,modern defense: two knights variation,489,239.0,0.4887525562372188
267,three knights opening #2,488,233.0,0.4774590163934426
268,indian game: spielmann-indian,488,230.0,0.4713114754098361
269,center game: paulsen attack variation,483,218.0,0.45134575569358176
270,old benoni defense #2,483,233.0,0.4824016563146998
271,italian game: classical variation #2,482,272.0,0.5643153526970954
272,alekhine defense: john tracy gambit,479,205.0,0.4279749478079332
273,four knights game: spanish variation,476,230.0,0.4831932773109244
274,pirc defense #3,475,230.0,0.4842105263157895
275,bird opening: from's gambit,471,221.0,0.4692144373673036
276,scandinavian defense: blackburne-kloosterboer gambit,471,222.0,0.4713375796178344
277,russian game: damiano variation,470,321.0,0.6829787234042554
278,ware opening,469,203.0,0.43283582089552236
279,king's pawn game: nimzowitsch defense,469,278.0,0.5927505330490405
280,vienna game: anderssen defense,468,235.0,0.5021367521367521
281,sicilian defense: classical variation,467,207.0,0.44325481798715205
282,sicilian defense: franco-sicilian variation,462,273.0,0.5909090909090909
283,philidor defense: exchange variation #3,462,229.0,0.49567099567099565
284,queen's gambit declined: exchange variation,460,257.0,0.558695652173913
285,sicilian defense: four knights variation,458,185.0,0.4039301310043668
286,"ruy lopez: morphy defense, caro variation",454,263.0,0.579295154185022
287,sicilian defense: dragon variation,453,185.0,0.4083885209713024
288,sicilian defense: hyperaccelerated fianchetto,451,173.0,0.3835920177383592
289,"king's gambit accepted, cunningham defense",449,204.0,0.45434298440979953
290,sicilian defense: chekhover variation,446,209.0,0.46860986547085204
291,"sicilian defense: najdorf, lipnitsky attack",443,197.0,0.44469525959367945
292,"king's gambit accepted, schallopp defense",441,248.0,0.562358276643991
293,"italian game: two knights defense, polerio defense, bishop check line",441,190.0,0.4308390022675737
294,nimzo-indian defense,441,201.0,0.4557823129251701
295,van geet opening: reversed nimzowitsch,438,197.0,0.4497716894977169
296,nimzowitsch defense: franco-nimzowitsch variation,435,238.0,0.5471264367816092
297,queen's gambit declined: 4.bg5 be7,431,227.0,0.5266821345707656
298,sicilian defense: open #2,429,220.0,0.5128205128205128
299,zukertort opening: ross gambit,428,238.0,0.5560747663551402
300,"italian game: two knights defense, fried liver attack",426,308.0,0.7230046948356808
301,queen's gambit declined: modern variation,426,239.0,0.5610328638497653
302,caro-kann defense #2,425,212.0,0.4988235294117647
303,"sicilian defense: modern variations, main line",425,181.0,0.4258823529411765
304,modern defense: three pawns attack,424,210.0,0.49528301886792453
305,"queen's gambit declined: exchange variation, positional variation #2",424,243.0,0.5731132075471698
306,french defense: marshall variation,423,241.0,0.5697399527186762
307,sicilian defense: lasker-dunne attack,422,196.0,0.46445497630331756
308,goldsmith defense,417,228.0,0.5467625899280576
309,sicilian defense: accelerated dragon,417,185.0,0.44364508393285373
310,englund gambit complex declined,414,196.0,0.47342995169082125
311,bishop's opening: vienna hybrid,414,209.0,0.5048309178743962
312,vienna game: falkbeer variation,413,179.0,0.43341404358353514
313,"english opening: king's english variation, reversed closed sicilian",412,217.0,0.5266990291262136
314,center game,411,188.0,0.45742092457420924
315,queen's gambit accepted: saduleto variation,410,250.0,0.6097560975609756
316,"sicilian defense: najdorf variation, english attack",409,190.0,0.46454767726161367
317,"scandinavian defense: main line, mieses variation",408,185.0,0.4534313725490196
318,king's indian defense: orthodox variation,407,219.0,0.538083538083538
319,yusupov-rubinstein system,406,174.0,0.42857142857142855
320,french defense: paulsen variation,406,219.0,0.5394088669950738
321,king's indian attack: symmetrical defense,405,216.0,0.5333333333333333
322,scandinavian defense: blackburne gambit,404,199.0,0.49257425742574257
323,colle system #2,404,187.0,0.4628712871287129
324,sicilian defense: snyder variation,404,172.0,0.42574257425742573
325,french defense: mediterranean defense,402,228.0,0.5671641791044776
326,king's pawn opening: 2.b3,398,164.0,0.4120603015075377
327,"sicilian defense: french variation, open",397,193.0,0.48614609571788414
328,alekhine defense: two pawn attack,397,184.0,0.4634760705289673
329,slav defense #3,396,237.0,0.5984848484848485
330,scandinavian defense: icelandic-palme gambit,396,164.0,0.41414141414141414
331,modern defense: standard line,389,226.0,0.5809768637532133
332,"italian game: classical variation, giuoco pianissimo",389,200.0,0.5141388174807198
333,elephant gambit: paulsen countergambit,388,143.0,0.36855670103092786
334,budapest defense: adler variation,387,185.0,0.4780361757105943
335,caro-kann defense: panov attack #2,383,195.0,0.5091383812010444
336,queen's gambit accepted: normal variation,381,253.0,0.6640419947506562
337,clemenz opening,380,151.0,0.3973684210526316
338,sicilian defense: wing gambit,380,204.0,0.5368421052631579
339,king's gambit accepted: modern defense #2,380,224.0,0.5894736842105263
340,queen's pawn game: anglo-slav opening,380,196.0,0.5157894736842106
341,ware defense,380,231.0,0.6078947368421053
342,polish opening: czech defense,379,208.0,0.5488126649076517
343,queen's gambit declined: harrwitz attack,377,207.0,0.5490716180371353
344,"french defense: advance variation, euwe variation",376,137.0,0.36436170212765956
345,"english opening: anglo-indian defense, hedgehog system",376,173.0,0.4601063829787234
346,king's indian defense: normal variation,375,175.0,0.4666666666666667
347,sicilian defense: hyperaccelerated pterodactyl,372,160.0,0.43010752688172044
348,dutch defense: rubinstein variation,370,163.0,0.44054054054054054
349,nimzowitsch defense: williams variation,368,194.0,0.5271739130434783
350,"four knights game: spanish variation, classical variation",366,156.0,0.4262295081967213
351,rat defense: english rat,364,159.0,0.4368131868131868
352,alekhine defense #2,362,202.0,0.5580110497237569
353,"english opening: symmetrical variation, two knights variation",360,172.0,0.4777777777777778
354,richter-veresov attack,360,179.0,0.49722222222222223
355,scandinavian defense: panov transfer,360,145.0,0.4027777777777778
356,indian game: tartakower attack,358,155.0,0.4329608938547486
357,latvian gambit accepted,357,170.0,0.47619047619047616
358,"ruy lopez: berlin defense, improved steinitz defense",356,174.0,0.4887640449438202
359,scotch game: haxo gambit,354,206.0,0.5819209039548022
360,"caro-kann defense: advance variation, botvinnik-carls defense",353,133.0,0.37677053824362605
361,"nimzowitsch defense: scandinavian variation, exchange variation",351,190.0,0.5413105413105413
362,rat defense: antal defense,350,165.0,0.4714285714285714
363,sicilian defense: kalashnikov variation,349,195.0,0.5587392550143266
364,"ruy lopez: morphy defense, anderssen variation",345,165.0,0.4782608695652174
365,scandinavian defense: marshall variation,343,174.0,0.5072886297376094
366,sicilian defense: closed #2,343,174.0,0.5072886297376094
367,englund gambit complex: hartlaub-charlick gambit,338,179.0,0.5295857988165681
368,king's indian attack: french variation,337,176.0,0.5222551928783383
369,indian game: anti-nimzo-indian,337,185.0,0.5489614243323442
370,king's pawn game: mengarini's opening,336,160.0,0.47619047619047616
371,benko gambit,332,119.0,0.35843373493975905
372,nimzo-indian defense: leningrad variation,331,171.0,0.5166163141993958
373,"king's gambit declined, classical variation",327,172.0,0.5259938837920489
374,queen's gambit refused: chigorin defense #3,326,181.0,0.5552147239263804
375,sicilian defense: marshall counterattack,323,153.0,0.47368421052631576
376,king's indian defense: six pawns attack,321,148.0,0.46105919003115264
377,four knights game: scotch variation,321,173.0,0.5389408099688473
378,sicilian defense: mengarini variation,320,150.0,0.46875
379,french defense: tarrasch variation,319,187.0,0.5862068965517241
380,queen's gambit declined: vienna variation,315,178.0,0.5650793650793651
381,king's pawn,315,228.0,0.7238095238095238
382,nimzo-indian defense: three knights variation,314,164.0,0.5222929936305732
383,zukertort opening: reversed mexican defense,313,129.0,0.41214057507987223
